vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
KNMAT2MT5JP614451,2018,Nissan,Rogue,SV,SUV,Gun Metallic,Charcoal,Variable,26,33,31713,20991,Ancira Nissan,2021-08-28
JTNK4RBE7K3012010,2019,Toyota,Corolla Hatchback,SE,Hatchback,Bronze,White,Variable,32,42,35555,20998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5N1AT2MT2KC780964,2019,Nissan,Rogue,SV,Sport Utility,Scarlet Ember Tintcoat,Charcoal,Variable,26,33,53897,20998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
3VWH17AU4HM518323,2017,Volkswagen,Golf Alltrack,TSI SE,Station Wagon,White,Titan Black,Automatic,22,30,66159,20998,Ancira Volkswagen of San Antonio,2021-08-28
ZACNJABB6KPJ75595,2019,Jeep,Renegade,Altitude,Sport Utility,Jetset Blue Clearcoat,Black,Automatic,22,30,24011,21491,Ancira Kia,2021-08-28
1N4AL3AP3JC141580,2018,Nissan,Altima,2.5 SR,Sedan,Scarlet Ember,Sport Interior,Variable,26,37,16067,21491,Ancira Nissan,2021-08-28
4T1B11HK5JU593698,2018,Toyota,Camry,L,4dr Car,Silver,Black,Automatic,29,41,82473,21494,Ancira Volkswagen of San Antonio,2021-08-28
19XFC2F69KE023201,2019,Honda,Civic Sedan,LX,4dr Car,White,-1,Variable,30,38,18234,21498,Ancira Chrysler Jeep Dodge Ram,2021-08-28
1FTEW1C86GKE05094,2016,Ford,F-150,XL,4D SuperCrew,Black,Dark Earth Gray,6-Speed Automatic Electronic,18,25,121915,21791,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
ZFBERFABXJ6L01746,2018,RAM,ProMaster City,Tradesman,4D Wagon,White,Black,9-Speed 948TE Automatic,21,28,17206,21991,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
JTMZFREV7JJ738601,2018,Toyota,RAV4,LE,4D Sport Utility,White,Ash,6-Speed Automatic,23,30,77359,21991,Ancira Chevy,2021-08-28
2C4RC1BG0HR587462,2017,Chrysler,Pacifica,Touring L,4D Passenger Van,Gray,Toffee/Cognac/Alloy,9-Speed Automatic,19,28,73609,21991,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
2GKALPEK8H6309978,2017,GMC,Terrain,SLT,4D Sport Utility,Summit White,Jet Black,6-Speed Automatic,21,31,51983,21991,Ancira Chevy,2021-08-28
2C4RDGCG4JR268229,2018,Dodge,Grand Caravan,SXT,4D Passenger Van,Granite Crystal Metallic Clearcoat,Black/Light Graystone,6-Speed Automatic,17,25,66501,21997,Ancira Ford Floresville,2021-08-28
3C4NJDBB9JT179054,2018,Jeep,Compass,Latitude,Sport Utility,White Clearcoat,Black,Automatic,22,30,29335,21998,Ancira Volkswagen of San Antonio,2021-08-28
5N1DR2MN4HC640629,2017,Nissan,Pathfinder,SL,SUV,Gun Metallic,Charcoal,Variable,20,27,73135,21998,Ancira Nissan,2021-08-28
5J6RM3H90GL016735,2016,Honda,CR-V,Touring,Sport Utility,White Diamond Pearl,Beige,Variable,26,33,87115,21998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2T3ZFREV4JW485724,2018,Toyota,RAV4,LE,SUV,Magnetic Gray Metallic,Black,Automatic,23,30,26800,22367,Ancira Nissan,2021-08-28
JTDS4RCE2LJ030589,2020,Toyota,Corolla,SE,4D Sedan,Black,Black,CVT,31,40,13324,22491,Ancira Volkswagen of Laredo,2021-08-28
JTDEPMAE5MJ163374,2021,Toyota,Corolla,LE,4D Sedan,Barcelona Red Metallic,Light Gray,CVT,30,38,4296,22491,Ancira Volkswagen of Laredo,2021-08-28
1HGCR2F15HA166794,2017,Honda,Accord,Sport Special Edition,4D Sedan,Black,Black,CVT,26,34,34465,22491,Ancira Volkswagen of Laredo,2021-08-28
KNMAT2MT3KP503334,2019,Nissan,Rogue,SV,4D Sport Utility,Glacier White,Charcoal,CVT with Xtronic,26,33,36884,22491,Ancira Chevy,2021-08-28
3VWCB7BU6KM212091,2019,Volkswagen,Jetta,R-Line,4dr Car,Red,Gray,Automatic,30,40,29101,22495,Ancira Volkswagen of San Antonio,2021-08-28
